10folds, Phase1, At fold 0, seed 9220,round 1 we find one with acc: 90.06211180124224, loss: 0.24701933590521724
10folds, Phase1, At fold 0, seed 9220,round 2 we find one with acc: 91.30434782608695, loss: 0.23726072509466492
10folds, Phase1, At fold 1, seed 9220,round 1 we find one with acc: 90.6832298136646, loss: 0.22332209237614034
10folds, Phase1, At fold 1, seed 9220,round 2 we find one with acc: 91.92546583850931, loss: 0.2208304534787717
10folds, Phase1, At fold 2, seed 9220,round 1 we find one with acc: 92.54658385093168, loss: 0.20159714044251056
10folds, Phase1, At fold 2, seed 9220,round 2 we find one with acc: 93.16770186335404, loss: 0.19426114912729087
10folds, Phase1, At fold 3, seed 9220,round 1 we find one with acc: 91.92546583850931, loss: 0.23955925308769535
10folds, Phase1, At fold 3, seed 9220,round 2 we find one with acc: 91.92546583850931, loss: 0.23951355835295612
10folds, Phase1, At fold 4, seed 9220,round 1 we find one with acc: 95.0, loss: 0.17224282622337342
10folds, Phase1, At fold 4, seed 9220,round 2 we find one with acc: 95.0, loss: 0.17768856137990952
10folds, Phase1, At fold 5, seed 9220,round 1 we find one with acc: 91.875, loss: 0.2152806341648102
10folds, Phase1, At fold 5, seed 9220,round 2 we find one with acc: 93.125, loss: 0.2448470413684845
10folds, Phase1, At fold 6, seed 9220,round 1 we find one with acc: 91.25, loss: 0.26329156160354616
10folds, Phase1, At fold 6, seed 9220,round 2 we find one with acc: 90.625, loss: 0.23919826447963716
10folds, Phase1, At fold 7, seed 9220,round 1 we find one with acc: 88.125, loss: 0.2761735081672668
10folds, Phase1, At fold 7, seed 9220,round 2 we find one with acc: 88.75, loss: 0.2759618997573853
10folds, Phase1, At fold 8, seed 9220,round 1 we find one with acc: 94.375, loss: 0.20012873262166977
10folds, Phase1, At fold 8, seed 9220,round 2 we find one with acc: 91.25, loss: 0.21431535482406616
10folds, Phase1, At fold 9, seed 9220,round 1 we find one with acc: 90.625, loss: 0.2545075356960297
10folds, Phase1, At fold 9, seed 9220,round 2 we find one with acc: 86.875, loss: 0.2919393479824066
10folds, Phase2, At fold 0, seed 9021,round 1 we find one with acc: 91.30434782608695, loss: 0.22672790474032764
10folds, Phase2, At fold 0, seed 9021,round 2 we find one with acc: 90.6832298136646, loss: 0.25832647955195503
10folds, Phase2, At fold 1, seed 9021,round 1 we find one with acc: 88.19875776397515, loss: 0.2593685575523732
5folds, Phase1, At fold 0, seed 9021,round 1 we find one with acc: 92.85714285714286, loss: 0.2338186698670713
5folds, Phase1, At fold 0, seed 9021,round 2 we find one with acc: 90.37267080745342, loss: 0.2520627272055016
5folds, Phase1, At fold 1, seed 9021,round 1 we find one with acc: 91.27725856697819, loss: 0.20488346217205963
5folds, Phase1, At fold 1, seed 9021,round 2 we find one with acc: 93.45794392523365, loss: 0.17996929664849493
5folds, Phase1, At fold 2, seed 9021,round 1 we find one with acc: 90.96573208722741, loss: 0.2619087272715346
5folds, Phase1, At fold 2, seed 9021,round 2 we find one with acc: 89.7196261682243, loss: 0.2826791485522024
5folds, Phase1, At fold 3, seed 9021,round 1 we find one with acc: 87.8125, loss: 0.3026962518692017
5folds, Phase1, At fold 3, seed 9021,round 2 we find one with acc: 89.375, loss: 0.27720020413398744
5folds, Phase1, At fold 4, seed 9021,round 1 we find one with acc: 88.125, loss: 0.2449653595685959
5folds, Phase1, At fold 4, seed 9021,round 2 we find one with acc: 90.0, loss: 0.24513929784297944
10folds, Phase2, At fold 0, seed 9220,round 1 we find one with acc: 90.6832298136646, loss: 0.2180013999990795
10folds, Phase2, At fold 0, seed 9220,round 2 we find one with acc: 94.40993788819875, loss: 0.17998989833437878
10folds, Phase2, At fold 1, seed 9220,round 1 we find one with acc: 95.03105590062111, loss: 0.16718394008482465
10folds, Phase2, At fold 1, seed 9220,round 2 we find one with acc: 93.7888198757764, loss: 0.17247961433777897
10folds, Phase2, At fold 2, seed 9220,round 1 we find one with acc: 91.30434782608695, loss: 0.21363731316342857
10folds, Phase2, At fold 2, seed 9220,round 2 we find one with acc: 93.7888198757764, loss: 0.19904483242758683
10folds, Phase2, At fold 3, seed 9220,round 1 we find one with acc: 95.03105590062111, loss: 0.1691444854003302
10folds, Phase2, At fold 3, seed 9220,round 2 we find one with acc: 94.40993788819875, loss: 0.16255430257098274
10folds, Phase2, At fold 4, seed 9220,round 1 we find one with acc: 91.25, loss: 0.21483200490474702
10folds, Phase2, At fold 4, seed 9220,round 2 we find one with acc: 94.375, loss: 0.19608657360076903
10folds, Phase2, At fold 5, seed 9220,round 1 we find one with acc: 95.0, loss: 0.1898961544036865
10folds, Phase2, At fold 5, seed 9220,round 2 we find one with acc: 92.5, loss: 0.1867382526397705
10folds, Phase2, At fold 6, seed 9220,round 1 we find one with acc: 93.125, loss: 0.19803838133811952
10folds, Phase2, At fold 6, seed 9220,round 2 we find one with acc: 92.5, loss: 0.22373671531677247
10folds, Phase2, At fold 7, seed 9220,round 1 we find one with acc: 93.125, loss: 0.1891440987586975
10folds, Phase2, At fold 7, seed 9220,round 2 we find one with acc: 92.5, loss: 0.20284412056207657
10folds, Phase2, At fold 8, seed 9220,round 1 we find one with acc: 93.125, loss: 0.165877828001976
10folds, Phase2, At fold 8, seed 9220,round 2 we find one with acc: 94.375, loss: 0.15092881619930268
10folds, Phase2, At fold 9, seed 9220,round 1 we find one with acc: 91.875, loss: 0.22067069113254548
10folds, Phase2, At fold 9, seed 9220,round 2 we find one with acc: 91.25, loss: 0.22117426693439485
10folds, Phase2, At fold 0, seed 9220,round 1 we find one with acc: 91.58878504672897, loss: 0.2149455346793772
10folds, Phase2, At fold 0, seed 9220,round 2 we find one with acc: 93.14641744548287, loss: 0.20717092317955516
10folds, Phase2, At fold 1, seed 9220,round 1 we find one with acc: 94.0809968847352, loss: 0.19956378401996933
10folds, Phase2, At fold 1, seed 9220,round 2 we find one with acc: 92.83489096573209, loss: 0.21757103572381992
10folds, Phase2, At fold 2, seed 9220,round 1 we find one with acc: 91.90031152647975, loss: 0.2108116320731855
10folds, Phase2, At fold 2, seed 9220,round 2 we find one with acc: 91.27725856697819, loss: 0.2070812124329564
10folds, Phase2, At fold 3, seed 9220,round 1 we find one with acc: 92.5233644859813, loss: 0.207615280448462
10folds, Phase2, At fold 3, seed 9220,round 2 we find one with acc: 93.45794392523365, loss: 0.20767680803934732
10folds, Phase2, At fold 4, seed 9220,round 1 we find one with acc: 94.375, loss: 0.19739022552967073
10folds, Phase2, At fold 4, seed 9220,round 2 we find one with acc: 91.875, loss: 0.2119290292263031
10folds, Phase3, At fold 0, seed 9220,round 1 we find one with acc: 91.58878504672897, loss: 0.19602305792573826
10folds, Phase3, At fold 1, seed 9220,round 1 we find one with acc: 93.45794392523365, loss: 0.1906146312428412
10folds, Phase3, At fold 2, seed 9220,round 1 we find one with acc: 92.83489096573209, loss: 0.23359056425243152
10folds, Phase3, At fold 3, seed 9220,round 1 we find one with acc: 92.5233644859813, loss: 0.19796655631139642
10folds, Phase3, At fold 4, seed 9220,round 1 we find one with acc: 93.4375, loss: 0.18259038925170898
10folds, Phase3, At fold 0, seed 66318,round 1 we find one with acc: 93.7888198757764, loss: 0.18900038091384846
10folds, Phase3, At fold 0, seed 66318,round 2 we find one with acc: 93.7888198757764, loss: 0.18202660218899294
10folds, Phase3, At fold 1, seed 66318,round 1 we find one with acc: 93.7888198757764, loss: 0.1959671381375064
10folds, Phase3, At fold 1, seed 66318,round 2 we find one with acc: 93.7888198757764, loss: 0.21230193010028103
10folds, Phase3, At fold 1, seed 66318,round 3 we find one with acc: 94.40993788819875, loss: 0.18795015445407132
10folds, Phase3, At fold 2, seed 66318,round 1 we find one with acc: 95.03105590062111, loss: 0.15942718264479075
10folds, Phase3, At fold 2, seed 66318,round 2 we find one with acc: 95.03105590062111, loss: 0.16886762052959536
10folds, Phase3, At fold 3, seed 66318,round 1 we find one with acc: 93.7888198757764, loss: 0.19316034842722163
10folds, Phase3, At fold 3, seed 66318,round 2 we find one with acc: 90.6832298136646, loss: 0.2072664766763308
10folds, Phase3, At fold 3, seed 66318,round 3 we find one with acc: 90.6832298136646, loss: 0.21361441123559607
10folds, Phase3, At fold 4, seed 66318,round 1 we find one with acc: 91.25, loss: 0.23037294447422027
10folds, Phase3, At fold 4, seed 66318,round 2 we find one with acc: 91.875, loss: 0.26812322437763214
10folds, Phase3, At fold 4, seed 66318,round 3 we find one with acc: 90.625, loss: 0.26392409205436707
10folds, Phase3, At fold 5, seed 66318,round 1 we find one with acc: 96.875, loss: 0.12658769488334656
10folds, Phase3, At fold 5, seed 66318,round 2 we find one with acc: 94.375, loss: 0.14669615626335145
10folds, Phase3, At fold 6, seed 66318,round 1 we find one with acc: 96.875, loss: 0.0948967233300209
10folds, Phase3, At fold 6, seed 66318,round 2 we find one with acc: 93.75, loss: 0.15398972630500793
10folds, Phase3, At fold 7, seed 66318,round 1 we find one with acc: 95.0, loss: 0.17833293080329896
10folds, Phase3, At fold 7, seed 66318,round 2 we find one with acc: 94.375, loss: 0.16402093470096588
10folds, Phase3, At fold 8, seed 66318,round 1 we find one with acc: 93.75, loss: 0.19725399017333983
10folds, Phase3, At fold 8, seed 66318,round 2 we find one with acc: 91.25, loss: 0.2073550045490265
10folds, Phase3, At fold 8, seed 66318,round 3 we find one with acc: 94.375, loss: 0.18864904046058656
10folds, Phase3, At fold 9, seed 66318,round 1 we find one with acc: 90.0, loss: 0.2649789094924927
10folds, Phase3, At fold 9, seed 66318,round 2 we find one with acc: 89.375, loss: 0.30186176896095274
10folds, Phase3, At fold 9, seed 66318,round 3 we find one with acc: 91.875, loss: 0.27955238372087476
10folds, Phase3, At fold 0, seed 66568,round 1 we find one with acc: 93.16770186335404, loss: 0.21931060153690185
10folds, Phase3, At fold 0, seed 66568,round 2 we find one with acc: 92.54658385093168, loss: 0.22091842192855682
10folds, Phase3, At fold 0, seed 66568,round 3 we find one with acc: 93.7888198757764, loss: 0.18486198856963876
10folds, Phase3, At fold 1, seed 66568,round 1 we find one with acc: 96.27329192546584, loss: 0.13517982119358846
10folds, Phase3, At fold 1, seed 66568,round 2 we find one with acc: 93.16770186335404, loss: 0.1745251074710988
10folds, Phase3, At fold 2, seed 66568,round 1 we find one with acc: 89.44099378881988, loss: 0.25713608048347214
10folds, Phase3, At fold 2, seed 66568,round 2 we find one with acc: 91.92546583850931, loss: 0.19487843551435827
10folds, Phase3, At fold 2, seed 66568,round 3 we find one with acc: 91.30434782608695, loss: 0.2280343135136255
10folds, Phase3, At fold 3, seed 66568,round 1 we find one with acc: 95.65217391304348, loss: 0.1304566807443311
10folds, Phase3, At fold 3, seed 66568,round 2 we find one with acc: 96.8944099378882, loss: 0.11909743643695524
10folds, Phase3, At fold 4, seed 66568,round 1 we find one with acc: 93.125, loss: 0.2188066780567169
10folds, Phase3, At fold 4, seed 66568,round 2 we find one with acc: 91.25, loss: 0.23367322981357574
10folds, Phase3, At fold 4, seed 66568,round 3 we find one with acc: 91.25, loss: 0.22955406010150908
10folds, Phase3, At fold 5, seed 66568,round 1 we find one with acc: 95.0, loss: 0.1428483471274376
10folds, Phase3, At fold 5, seed 66568,round 2 we find one with acc: 93.75, loss: 0.1753488838672638
10folds, Phase3, At fold 6, seed 66568,round 1 we find one with acc: 95.0, loss: 0.1781529664993286
10folds, Phase3, At fold 6, seed 66568,round 2 we find one with acc: 93.125, loss: 0.21393891274929047
10folds, Phase3, At fold 6, seed 66568,round 3 we find one with acc: 94.375, loss: 0.18841687738895416
10folds, Phase3, At fold 7, seed 66568,round 1 we find one with acc: 90.0, loss: 0.25287412106990814
10folds, Phase3, At fold 7, seed 66568,round 2 we find one with acc: 93.75, loss: 0.2242947995662689
10folds, Phase3, At fold 7, seed 66568,round 3 we find one with acc: 88.75, loss: 0.26075498163700106
10folds, Phase3, At fold 8, seed 66568,round 1 we find one with acc: 96.25, loss: 0.14551309645175933
10folds, Phase3, At fold 8, seed 66568,round 2 we find one with acc: 94.375, loss: 0.1474384218454361
10folds, Phase3, At fold 9, seed 66568,round 1 we find one with acc: 93.125, loss: 0.22947436869144439
10folds, Phase3, At fold 9, seed 66568,round 2 we find one with acc: 94.375, loss: 0.19926602095365525
10folds, Phase3, At fold 9, seed 66568,round 3 we find one with acc: 95.0, loss: 0.1959661602973938
10folds, Phase3, At fold 0, seed 64595,round 1 we find one with acc: 93.16770186335404, loss: 0.19256400897728732
10folds, Phase3, At fold 0, seed 64595,round 2 we find one with acc: 94.40993788819875, loss: 0.19399932332290626
10folds, Phase3, At fold 1, seed 64595,round 1 we find one with acc: 95.03105590062111, loss: 0.1546385890763739
10folds, Phase3, At fold 1, seed 64595,round 2 we find one with acc: 95.65217391304348, loss: 0.16437792111627803
